iter	Passed	Remaining
0	0	826
1	1	769
2	2	769
3	3	756
4	3	787
5	4	794
6	5	779
7	6	779
8	7	774
9	7	767
10	8	759
11	9	795
12	10	791
13	11	782
14	11	776
15	12	770
16	13	764
17	13	758
18	14	754
19	15	748
20	15	744
21	16	738
22	17	735
23	17	730
24	18	727
25	19	725
26	20	736
27	21	734
28	21	732
29	22	728
30	23	725
31	23	723
32	24	721
33	25	719
34	25	716
35	26	714
36	27	710
37	27	708
38	28	706
39	29	702
40	29	700
41	30	697
42	31	696
43	32	695
44	32	693
45	33	690
46	33	689
47	34	687
48	35	685
49	36	688
50	36	686
51	37	685
52	38	683
53	38	682
54	39	680
55	40	678
56	40	677
57	41	675
58	42	674
59	42	672
60	43	671
61	44	670
62	45	669
63	45	668
64	46	667
65	47	665
66	47	663
67	48	662
68	49	661
69	49	659
70	50	658
71	50	656
72	51	658
73	52	658
74	53	658
75	54	657
76	54	656
77	55	654
78	56	653
79	56	652
80	57	651
81	58	649
82	58	647
83	59	646
84	59	645
85	60	644
86	61	642
87	61	641
88	62	640
89	63	639
90	63	638
91	64	637
92	65	637
93	65	635
94	66	634
95	67	633
96	68	633
97	68	633
98	69	633
99	70	632
100	70	630
101	71	629
102	72	629
103	72	628
104	73	627
105	74	626
106	74	625
107	75	625
108	76	624
109	77	623
110	77	622
111	78	620
112	78	619
113	79	618
114	80	617
115	80	616
116	81	615
117	82	614
118	82	614
119	83	614
120	84	614
121	85	613
122	85	612
123	86	611
124	87	610
125	87	609
126	88	608
127	89	607
128	89	606
129	90	605
130	91	604
131	91	603
132	92	603
133	93	602
134	93	601
135	94	600
136	95	599
137	95	598
138	96	597
139	97	596
140	97	595
141	98	595
142	99	594
143	99	593
144	100	592
145	101	591
146	101	590
147	102	590
148	103	589
149	103	588
150	104	587
151	105	586
152	105	585
153	106	584
154	107	583
155	107	582
156	108	582
157	109	581
158	109	580
159	110	579
160	111	578
161	111	578
162	112	577
163	113	576
164	113	575
165	114	575
166	115	574
167	115	573
168	116	573
169	117	573
170	118	572
171	118	571
172	119	570
173	120	569
174	120	569
175	121	568
176	122	567
177	122	566
178	123	566
179	124	565
180	124	564
181	125	563
182	126	563
183	126	563
184	127	562
